ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);"PM10 
(ug/m3)";"PM2.5 
(ug/m3)";SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C);;;;;;
41;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 16:00;0;0;87.39;0;27.52;8.90;7.53;100.25;0.64;88.56;-12.10972;-77.05194;100603.44;15.79;;;;;;
42;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 17:00;0;0;109.97;0;34.87;10.61;7.26;92.54;0.16;92.51;-12.10972;-77.05194;100615.82;15.49;;;;;;
43;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 18:00;0;0;113.69;0;46.91;13.39;7.21;92.15;0;93.09;-12.10972;-77.05194;100643.80;15.30;;;;;;
44;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 19:00;2.57;0;115.39;0;37.68;12.69;7.21;89.01;0;93.16;-12.10972;-77.05194;100691.55;15.15;;;;;;
45;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 20:00;0;0;106.35;0;40.88;12.93;7.19;90.66;0;93.86;-12.10972;-77.05194;100755.01;15.07;;;;;;
46;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 21:00;0;0;101.89;0;53.00;13.27;7.20;98.60;0;94.06;-12.10972;-77.05194;100797.19;14.86;;;;;;
47;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 22:00;0;0;98.86;0;67.12;15.10;7.21;95.58;0;93.66;-12.10972;-77.05194;100844.38;14.94;;;;;;
48;10069;150122;PE;Subgerencia de Desarrollo Ambiental;02/08/2020 23:00;0;0;90.13;0;49.66;12.78;7.19;82.42;0;93.32;-12.10972;-77.05194;100857.53;14.98;;;;;;
49;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 00:00;0;0;87.06;0;35.25;12.84;7.20;75.09;0;94.50;-12.10972;-77.05194;100874.55;14.85;;;;;;
50;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 01:00;0;0;89.94;0;35.15;14.50;7.21;74.24;0;95.04;-12.10972;-77.05194;100857.13;14.78;;;;;;
51;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 02:00;0;0;91.46;0;36.91;16.75;7.24;74.81;0;95.61;-12.10972;-77.05194;100827.56;14.66;;;;;;
52;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 03:00;0;0;90.86;0;40.61;17.30;7.23;67.94;0;95.87;-12.10972;-77.05194;100800.25;14.57;;;;;;
53;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 04:00;0;0;92.27;0;46.37;14.80;7.19;78.10;0;97.79;-12.10972;-77.05194;100802.07;14.47;;;;;;
54;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 05:00;0;0;90.22;0;57.14;14.89;7.18;75.36;0;98.30;-12.10972;-77.05194;100811.25;14.39;;;;;;
55;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 06:00;0;0;96.31;0;39.38;11.05;7.19;93.40;0;98.34;-12.10972;-77.05194;100835.78;14.31;;;;;;
56;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 07:00;0.64;0;117.26;0;33.17;9.79;7.28;98.64;0;97.70;-12.10972;-77.05194;100875.20;14.45;;;;;;
57;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 08:00;171.67;0.11;132.70;0;23.93;8.20;7.51;99.01;0.06;95.87;-12.10972;-77.05194;100917.85;14.82;;;;;;
58;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 09:00;294.59;0.06;118.26;0;19.89;7.45;7.54;100.90;0.30;91.14;-12.10972;-77.05194;100961.98;15.75;;;;;;
59;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 10:00;118.37;0;102.46;0;22.99;7.21;7.48;97.68;0.43;89.54;-12.10972;-77.05194;100977.18;16.26;;;;;;
60;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 11:00;88.07;0.12;91.01;0;32.77;9.59;7.51;97.46;0.55;87.24;-12.10972;-77.05194;100986.11;16.49;;;;;;
61;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 12:00;36.47;0;98.22;0;32.73;10.73;7.74;97.56;0.67;84.27;-12.10972;-77.05194;100960.84;17.22;;;;;;
62;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 13:00;136.86;0.17;83.78;0;30.97;9.71;7.70;98.12;0.74;82.10;-12.10972;-77.05194;100922.26;17.35;;;;;;
63;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 14:00;58.43;0;99.18;0;42.52;11.48;7.87;97.16;0.73;81.06;-12.10972;-77.05194;100855.02;17.90;;;;;;
64;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 15:00;42.05;0;100.49;0;38.11;11.48;7.89;101.54;0.66;81.21;-12.10972;-77.05194;100799.55;17.91;;;;;;
65;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 16:00;210.27;0.02;117.01;0;35.22;10.71;7.91;107.25;0.71;81.50;-12.10972;-77.05194;100762.28;17.65;;;;;;
66;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 17:00;261.96;0.52;123.74;0;32.58;10.21;7.81;98.90;0.26;81.34;-12.10972;-77.05194;100772.79;17.50;;;;;;
67;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 18:00;37.36;0;116.07;0;42.08;12.19;7.34;96.02;0.02;88.76;-12.10972;-77.05194;100817.68;16.11;;;;;;
68;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 19:00;0;0;122.95;0;52.60;13.68;7.23;101.04;0;94.48;-12.10972;-77.05194;100883.80;15.10;;;;;;
69;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 20:00;0;0;112.22;0;41.20;11.39;7.20;90.26;0;96.54;-12.10972;-77.05194;100952.27;14.91;;;;;;
70;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 21:00;0;0;101.43;0;40.94;11.38;7.22;100.24;0;97.79;-12.10972;-77.05194;100992.71;14.83;;;;;;
71;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 22:00;0;0;95.81;0;99.12;20.20;7.22;101.78;0;96.33;-12.10972;-77.05194;100995.24;14.88;;;;;;
72;10069;150122;PE;Subgerencia de Desarrollo Ambiental;03/08/2020 23:00;0;0;85.86;0;31.24;9.30;7.20;77.87;0;94.91;-12.10972;-77.05194;100996.04;14.82;;;;;;
73;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 00:00;0;0;86.03;0;93.16;19.46;7.20;71.36;0;95.26;-12.10972;-77.05194;100998.44;14.89;;;;;;
74;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 01:00;0;0;91.58;0;75.99;19.24;7.22;77.82;0;96.44;-12.10972;-77.05194;100988.56;14.78;;;;;;
75;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 02:00;0;0;97.14;0;90.35;22.70;7.24;75.36;0;97.67;-12.10972;-77.05194;100954.36;14.78;;;;;;
76;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 03:00;0;0;97.38;0;37.71;15.77;7.25;75.70;0;97.35;-12.10972;-77.05194;100932.03;14.61;;;;;;
77;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 04:00;0;0;93.68;0;36.62;17.21;7.24;74.27;0;97.31;-12.10972;-77.05194;100924.09;14.60;;;;;;
78;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 05:00;0;0;89.33;0;53.70;18.22;7.18;77.09;0;99.18;-12.10972;-77.05194;100918.77;14.19;;;;;;
79;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 06:00;0;0;90.95;0;33.45;12.47;7.18;88.10;0;99.30;-12.10972;-77.05194;100915.25;14.00;;;;;;
80;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 07:00;0;0;99.23;0;30.17;10.71;7.21;101.93;0;98.52;-12.10972;-77.05194;100949.01;14.19;;;;;;
81;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 08:00;0;0;101.02;0;33.91;11.45;7.30;99.35;0.08;95.11;-12.10972;-77.05194;101003.14;14.74;;;;;;
82;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 09:00;0;0;87.51;0;19.89;7.61;7.30;95.70;0.28;91.18;-12.10972;-77.05194;101081.78;15.40;;;;;;
83;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 10:00;0;0;74.54;0;17.07;5.81;7.36;93.85;0.56;88.67;-12.10972;-77.05194;101111.71;15.80;;;;;;
84;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 11:00;0;0;63.47;0;11.83;4.89;7.57;95.32;0.88;85.69;-12.10972;-77.05194;101091.87;16.21;;;;;;
85;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 12:00;0;0;66.57;0;13.64;5.04;7.60;97.51;1.13;89.29;-12.10972;-77.05194;101033.65;16.09;;;;;;
86;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 13:00;0;0;72.78;0;16.83;5.70;7.55;96.94;1.19;90.24;-12.10972;-77.05194;100966.59;15.97;;;;;;
87;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 14:00;0;0;66.75;0;16.00;5.24;7.76;97.68;1.31;87.89;-12.10972;-77.05194;100882.69;16.55;;;;;;
88;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 15:00;0;0;59.16;0;15.11;4.76;7.89;98.72;1.32;85.48;-12.10972;-77.05194;100808.86;16.77;;;;;;
89;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 16:00;0;0;66.13;0;14.73;4.95;7.78;93.87;0.86;86.02;-12.10972;-77.05194;100736.75;16.66;;;;;;
90;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 17:00;0;0;92.31;0;13.21;4.87;7.57;97.16;0.44;87.61;-12.10972;-77.05194;100727.76;16.32;;;;;;
91;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 18:00;0;0;117.76;0;34.63;8.29;7.22;104.36;0.04;91.91;-12.10972;-77.05194;100763.84;15.61;;;;;;
92;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 19:00;0;0;130.76;0;44.05;10.49;7.17;101.07;0;93.57;-12.10972;-77.05194;100782.22;15.19;;;;;;
93;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 21:00;0;0;115.80;0;62.25;16.95;7.20;92.89;0;93.29;-12.10972;-77.05194;100908.16;15.44;;;;;;
94;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 22:00;0;0;102.44;0;39.55;12.82;7.19;99.29;0;94.35;-12.10972;-77.05194;100929.27;15.34;;;;;;
95;10069;150122;PE;Subgerencia de Desarrollo Ambiental;04/08/2020 23:00;0;0;91.06;0;34.12;12.30;7.17;85.82;0;94.74;-12.10972;-77.05194;100962.18;15.12;;;;;;
96;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 00:00;0;0;84.23;0;26.26;9.77;7.17;79.80;0;93.72;-12.10972;-77.05194;100956.64;14.92;;;;;;
97;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 01:00;0;0;85.73;0;24.50;10.34;7.16;77.07;0;93.58;-12.10972;-77.05194;100948.46;14.65;;;;;;
98;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 02:00;0;0;86.98;0;25.00;10.31;7.16;79.81;0;95.08;-12.10972;-77.05194;100931.09;14.27;;;;;;
99;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 03:00;0;0;86.27;0;21.16;7.21;7.15;75.30;0;96.01;-12.10972;-77.05194;100914.92;14.15;;;;;;
100;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 04:00;0;0;85.70;0;20.68;6.28;7.15;74.16;0;97.21;-12.10972;-77.05194;100906.87;14.05;;;;;;
101;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 05:00;0;0;87.81;0;9.11;4.26;7.18;78.02;0;96.94;-12.10972;-77.05194;100874.46;14.16;;;;;;
102;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 06:00;0;0;100.05;0;14.22;5.63;7.24;88.45;0;93.79;-12.10972;-77.05194;100869.24;14.67;;;;;;
103;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 07:00;10.97;0.04;126.96;0;21.16;6.68;7.37;98.40;0;91.52;-12.10972;-77.05194;100908.47;15.10;;;;;;
104;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 08:00;229.03;0.43;140.48;0;34.65;9.55;7.46;97.26;0.07;95.88;-12.10972;-77.05194;100974.46;15.02;;;;;;
105;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 09:00;370.24;1.94;141.06;0;16.08;6.08;7.60;98.88;0.29;96.73;-12.10972;-77.05194;100987.45;15.22;;;;;;
106;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 10:00;213.79;0.12;100.08;0;20.41;6.79;7.57;97.53;0.64;91.15;-12.10972;-77.05194;100991.16;16.29;;;;;;
107;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 11:00;51.65;0;55.80;0;21.46;6.77;7.93;97.41;1.18;81.63;-12.10972;-77.05194;100953.38;17.85;;;;;;
108;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 12:00;0;0;22.61;0;17.86;5.94;8.44;98.76;2.69;73.99;-12.10972;-77.05194;100915.86;19.91;;;;;;
109;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 13:00;0;0;3.09;0.77;19.52;6.26;8.57;99.29;3.72;71.24;-12.10972;-77.05194;100866.70;20.65;;;;;;
110;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 14:00;0;0;4.79;0.05;13.33;4.79;8.49;102.91;2.98;66.03;-12.10972;-77.05194;100777.87;21.37;;;;;;
111;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 15:00;0;0;38.92;0;17.66;6.04;8.21;104.50;1.54;69.10;-12.10972;-77.05194;100701.56;20.56;;;;;;
112;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 16:00;0;0;87.85;0;21.81;7.21;7.96;100.42;0.73;79.14;-12.10972;-77.05194;100668.45;17.86;;;;;;
113;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 17:00;0;0;121.77;0;21.38;7.09;7.62;95.77;0.36;84.39;-12.10972;-77.05194;100670.33;16.69;;;;;;
114;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 18:00;1.02;0;134.78;0;21.88;7.65;7.22;98.95;0.05;88.40;-12.10972;-77.05194;100724.00;15.75;;;;;;
115;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 19:00;0;0;132.73;0;23.47;8.44;7.20;102.07;0;88.16;-12.10972;-77.05194;100742.29;15.85;;;;;;
116;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 20:00;0;0;122.70;0;21.88;6.64;7.18;97.78;0;90.82;-12.10972;-77.05194;100755.73;15.48;;;;;;
117;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 21:00;0;0;120.55;0;30.51;11.38;7.21;96.67;0;91.38;-12.10972;-77.05194;100790.04;15.51;;;;;;
118;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 22:00;0;0;113.46;0;45.89;14.62;7.20;93.97;0;91.35;-12.10972;-77.05194;100856.27;15.47;;;;;;
119;10069;150122;PE;Subgerencia de Desarrollo Ambiental;05/08/2020 23:00;0;0;103.79;0;62.57;18.32;7.19;88.87;0;91.47;-12.10972;-77.05194;100844.82;15.47;;;;;;
120;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 00:00;0;0;95.39;0;62.88;16.86;7.16;86.10;0;91.87;-12.10972;-77.05194;100792.27;15.41;;;;;;
121;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 01:00;0;0;94.88;0;41.15;13.88;7.16;85.30;0;92.40;-12.10972;-77.05194;100774.26;15.38;;;;;;
122;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 02:00;0;0;91.11;0;41.73;14.54;7.18;73.85;0;93.27;-12.10972;-77.05194;100730.70;15.28;;;;;;
123;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 03:00;0;0;89.72;0;41.52;14.74;7.17;68.68;0;93.47;-12.10972;-77.05194;100688.85;15.17;;;;;;
124;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 04:00;11.79;0;88.28;0;34.28;13.61;7.18;73.89;0;93.66;-12.10972;-77.05194;100666.04;15.13;;;;;;
125;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 05:00;0;0;87.56;0;31.18;13.23;7.17;67.53;0;93.35;-12.10972;-77.05194;100656.82;15.04;;;;;;
126;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 06:00;0;0;93.79;0;32.53;13.66;7.20;83.41;0;92.98;-12.10972;-77.05194;100699.07;15.17;;;;;;
127;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 07:00;0.11;0;106.53;0;31.26;13.60;7.22;100.70;0;92.82;-12.10972;-77.05194;100761.28;15.09;;;;;;
128;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 08:00;0.00;0;113.52;0;31.73;13.99;7.27;96.34;0.04;92.30;-12.10972;-77.05194;100829.74;15.29;;;;;;
129;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 09:00;25.97;0;109.50;0;28.91;12.98;7.31;101.16;0.23;90.65;-12.10972;-77.05194;100886.30;15.72;;;;;;
130;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 10:00;0.00;0;106.78;0;36.62;17.64;7.31;100.15;0.30;89.56;-12.10972;-77.05194;100908.35;15.94;;;;;;
131;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 11:00;0.00;0;93.22;0;33.44;16.25;7.28;100.43;0.44;90.04;-12.10972;-77.05194;100895.23;15.65;;;;;;
132;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 12:00;15.42;0;71.13;0;25.79;9.96;7.53;96.88;1.26;86.34;-12.10972;-77.05194;100828.91;16.21;;;;;;
133;10069;150122;PE;Subgerencia de Desarrollo Ambiental;06/08/2020 13:00;0;0;57.03;0;16.69;7.37;7.74;98.91;1.53;86.71;-12.10972;-77.05194;100748.53;16.26;;;;;;
